"filename", "language", "TypeScript", "Vue", "CSS", "XML", "comment", "blank", "total"
"d:\lw\vue3\vue-project\src\App.vue", "Vue", 0, 58, 0, 0, 0, 14, 72
"d:\lw\vue3\vue-project\src\assets\base.css", "CSS", 0, 0, 71, 0, 2, 14, 87
"d:\lw\vue3\vue-project\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\lw\vue3\vue-project\src\assets\main.css", "CSS", 0, 0, 193, 0, 11, 35, 239
"d:\lw\vue3\vue-project\src\components\icons\IconCommunity.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\lw\vue3\vue-project\src\components\icons\IconDocumentation.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\lw\vue3\vue-project\src\components\icons\IconEcosystem.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\lw\vue3\vue-project\src\components\icons\IconSupport.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\lw\vue3\vue-project\src\components\icons\IconTooling.vue", "Vue", 0, 18, 0, 0, 1, 1, 20
"d:\lw\vue3\vue-project\src\components\portfolio\ContactSection.vue", "Vue", 0, 345, 0, 0, 7, 53, 405
"d:\lw\vue3\vue-project\src\components\portfolio\ExperienceSection.vue", "Vue", 0, 361, 0, 0, 2, 50, 413
"d:\lw\vue3\vue-project\src\components\portfolio\HeroSection.vue", "Vue", 0, 278, 0, 0, 2, 35, 315
"d:\lw\vue3\vue-project\src\components\portfolio\PortfolioFooter.vue", "Vue", 0, 230, 0, 0, 1, 38, 269
"d:\lw\vue3\vue-project\src\components\portfolio\PortfolioHeader.vue", "Vue", 0, 121, 0, 0, 2, 19, 142
"d:\lw\vue3\vue-project\src\components\portfolio\ProjectsSection.vue", "Vue", 0, 384, 0, 0, 1, 48, 433
"d:\lw\vue3\vue-project\src\components\portfolio\SkillsSection.vue", "Vue", 0, 311, 0, 0, 1, 37, 349
"d:\lw\vue3\vue-project\src\composables\useScrollAnimation.ts", "TypeScript", 61, 0, 0, 0, 7, 13, 81
"d:\lw\vue3\vue-project\src\main.ts", "TypeScript", 17, 0, 0, 0, 1, 7, 25
"d:\lw\vue3\vue-project\src\router\index.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"d:\lw\vue3\vue-project\src\stores\counter.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"d:\lw\vue3\vue-project\src\style\main.css", "CSS", 0, 0, 250, 0, 17, 45, 312
"d:\lw\vue3\vue-project\src\views\Portfolio.vue", "Vue", 0, 31, 0, 0, 8, 10, 49
"Total", "-", 101, 2165, 514, 1, 63, 430, 3274